time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label,n_news,avg_news_compound
1574726400,141,315,202,159.28579999999997,-66.98729999999999,92.43179999999994,758,1614,959,815.4549999999997,-378.0946000000001,437.6425,ETH,146.33,147.7,149.28,145.84,1,1,0.6387083333333333
1574812800,179,316,234,178.825,-80.53700000000002,98.36299999999984,925,1371,1063,774.2721,-443.7403999999996,330.96920000000017,ETH,147.7,153.04,156.58,152.59,-1,7,-0.06546190476190476
1574899200,91,265,134,143.92559999999986,-40.4626,103.43709999999993,465,1433,670,827.6551000000011,-212.86969999999997,614.4973000000008,ETH,153.04,151.23,152.79,149.14,1,0,0.0
1574985600,170,232,165,123.60089999999992,-85.87609999999997,37.646400000000064,827,1104,667,596.9494,-460.8420999999999,135.52069999999978,ETH,151.23,155.08,160.13,153.68,-1,2,0.04658421052631576
1575072000,131,195,137,100.69239999999996,-61.459399999999974,39.22439999999997,700,1040,660,535.1147000000002,-359.031,176.17780000000008,ETH,155.08,152.04,153.18,150.0,-1,0,0.0
1575158400,126,194,115,106.58629999999997,-65.60859999999998,41.05109999999996,664,1092,416,620.1227000000001,-345.22799999999984,275.38660000000004,ETH,152.04,151.23,152.94,148.04,-1,1,-0.09309259259259262
1575244800,150,303,201,157.36530000000005,-70.82449999999997,86.65929999999989,643,1413,905,750.7746,-297.55710000000005,454.0566000000002,ETH,151.23,149.2,150.59,147.81,-1,2,-0.4337666666666667
1575331200,169,288,176,153.43739999999997,-84.30520000000001,69.04549999999996,865,1678,781,949.5492,-474.8585,474.2335,ETH,149.2,147.66,150.66,147.22,-1,3,-0.135925
1575417600,164,307,242,168.5203000000001,-83.22299999999997,85.27620000000006,852,1711,1405,1023.5515999999992,-427.4390999999998,596.5245999999999,ETH,147.66,145.67,146.82,141.2,1,3,-0.23673214285714286
1575504000,107,371,200,215.2739000000002,-48.76549999999998,166.6780000000002,738,2600,1016,1639.0697999999984,-352.53880000000015,1287.611299999999,ETH,145.67,148.36,150.73,146.73,1,3,0.3803407407407407
1575590400,130,341,219,185.04510000000008,-55.93189999999998,129.18779999999998,691,2004,1150,1096.7981999999986,-263.6527000000001,832.6305000000003,ETH,148.36,149.06,153.06,148.75,-1,1,-0.3224666666666667
1575676800,150,375,228,203.41500000000008,-66.77259999999997,136.71109999999996,884,1956,979,1083.0346999999997,-410.9603999999996,672.0253999999999,ETH,149.06,147.52,148.87,146.31,1,3,0.19069111111111112
1575763200,138,338,237,189.0189000000001,-63.13539999999998,125.78869999999985,802,2012,1279,1210.0375999999994,-351.4941999999997,858.0408999999995,ETH,147.52,150.94,151.55,147.85,-1,2,0.10481666666666664
1575849600,129,292,208,162.29319999999996,-62.35410000000002,99.84719999999993,668,1661,1022,958.6176000000016,-326.0239,632.2461000000018,ETH,150.94,147.53,148.56,145.47,-1,3,0.09195277777777777
1575936000,160,343,217,195.4219000000002,-66.7632,128.5893,961,2064,1059,1240.3513999999998,-404.8646999999997,834.0818999999992,ETH,147.53,145.76,146.34,143.66,-1,3,0.3983707407407408
1576022400,198,386,249,215.91590000000008,-95.5149,120.40399999999987,990,1975,1113,1178.6983000000007,-492.02250000000015,686.9587999999989,ETH,145.76,143.37,146.33,142.65,1,4,-0.08872140350877192
1576108800,193,484,244,267.81260000000003,-84.46799999999998,183.40440000000004,928,2337,891,1334.917999999997,-438.2276999999997,896.8439000000003,ETH,143.37,144.85,145.21,141.32,1,0,0.0
1576195200,147,356,195,193.76230000000004,-64.18349999999997,129.73839999999996,723,2043,1040,1139.2589000000012,-307.5605999999998,833.5985000000003,ETH,144.85,144.87,146.32,143.71,-1,3,0.21527350427350425
1576281600,116,343,195,185.70660000000007,-52.82899999999999,132.84099999999984,578,1853,858,983.5754000000012,-291.6409999999998,691.5085000000007,ETH,144.87,142.03,142.6,139.98,1,0,0.0
1576368000,127,280,175,156.54,-57.986999999999995,98.64799999999997,813,1644,906,953.6960000000007,-386.1504999999999,568.6607999999992,ETH,142.03,142.72,143.72,141.79,-1,2,0.19155166666666665
1576454400,304,560,331,305.67460000000005,-140.96609999999984,164.78599999999997,1718,2967,1795,1673.7992000000006,-840.1914000000003,834.1325999999992,ETH,142.72,132.91,138.57,130.5,-1,2,0.12702333333333335
1576540800,381,704,477,385.77000000000015,-176.08529999999993,209.7932000000004,2199,4202,2403,2395.126199999995,-1085.2283999999997,1310.0463999999974,ETH,132.91,122.23,128.2,121.04,1,2,-0.22623125000000002
1576627200,296,563,352,305.8468000000001,-145.4261999999999,160.5151,1572,2933,1740,1687.1720999999993,-767.0945000000019,920.403899999998,ETH,122.23,133.13,137.06,131.67,-1,2,0.5954897435897436
1576713600,246,464,281,254.13950000000025,-112.30329999999996,141.648,1067,2078,1222,1176.9201999999984,-512.4386999999998,664.1552000000006,ETH,133.13,128.22,131.23,125.86,1,2,-0.128195
1576800000,185,397,203,232.45200000000008,-82.45249999999999,150.0473000000001,987,1978,811,1191.5258000000003,-429.77460000000036,760.6653000000005,ETH,128.22,128.44,129.45,127.72,-1,2,0.007823076923076933
