time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low
1574035200,658,1075,695,578.6404000000005,-304.0388,274.6260000000007,3444,4594,3146,2512.359399999994,-1629.9473000000003,883.6133999999995,BTC,8515.28,8190.16,8537.87,8075.63
1574121600,857,1469,878,800.4100000000016,-407.4132999999998,393.07269999999966,4265,6644,4116,3583.600799999978,-2108.061299999996,1476.1270000000006,BTC,8190.16,8133.57,8215.95,8016.54
1574208000,656,1271,676,681.608400000001,-309.9789,371.61579999999907,3130,6122,2744,3311.1311999999966,-1498.2020999999993,1812.1261999999992,BTC,8133.57,8093.6,8232.23,8047.73
1574294400,729,1395,932,753.2439,-352.0108999999997,401.4213999999997,3619,6791,3695,3653.9406999999924,-1805.107799999999,1850.8374999999971,BTC,8093.6,7632.59,8133.73,7437.33
1574380800,942,1535,979,828.4130999999994,-443.9323999999991,384.6902999999998,4565,6041,4171,3313.7793999999917,-2217.2716,1091.771599999995,BTC,7632.59,7292.2,7721.9,6815.03
1574467200,574,1048,681,577.268,-273.7762,303.18770000000006,2147,4211,2891,2361.8753999999976,-1053.3925999999992,1306.9001999999937,BTC,7292.2,7339.24,7368.18,7119.41
1574553600,631,1146,701,626.4994999999996,-306.9383,319.64809999999994,2521,4912,2754,2790.5711999999985,-1300.9212000000023,1490.7216999999982,BTC,7339.24,6930.09,7364.59,6888.89
1574640000,796,1502,929,829.0589999999992,-371.1975999999999,458.05049999999926,3111,5762,3587,3163.897199999992,-1485.516899999996,1679.505500000006,BTC,6930.09,7138.23,7386.06,6560.13
1574726400,722,1372,827,752.6715000000015,-349.42849999999993,403.3447999999995,3204,6769,3453,3639.7629999999854,-1568.0672999999988,2071.2198999999955,BTC,7138.23,7170.11,7350.44,7042.5
1574812800,852,1393,783,767.3385000000006,-414.26259999999974,353.48170000000033,3789,5716,3241,3128.50899999999,-1802.5810999999987,1327.9377000000002,BTC,7170.11,7531.5,7681.51,6873.1
1574899200,575,1084,684,584.6401999999997,-273.01839999999976,311.75120000000055,2298,4311,2815,2345.3434999999995,-1088.5982999999992,1257.0105000000015,BTC,7531.5,7442.33,7663.45,7388.79
1574985600,650,1269,958,706.6297999999989,-311.1621999999998,395.3510000000005,2750,5491,3922,3080.8034999999963,-1342.2415999999982,1736.670199999999,BTC,7442.33,7769.38,7872.17,7425.49
1575072000,710,1343,923,745.5389999999995,-354.87769999999995,390.8541000000001,2671,4596,3702,2680.5552000000043,-1319.2644000000018,1361.9469000000006,BTC,7769.38,7571.77,7821.01,7487.1
1575158400,695,1164,666,638.6696999999996,-350.2420999999995,288.69870000000077,2959,5523,2782,2998.3146999999894,-1529.1405999999993,1471.8349999999982,BTC,7571.77,7420.53,7575.5,7261.95
1575244800,940,1564,887,870.4607000000019,-466.2248999999993,404.2305999999995,4068,6379,3254,3502.2861999999927,-1915.9958000000004,1586.1529000000005,BTC,7420.53,7320.94,7442.62,7193.09
1575331200,772,1399,799,768.5542000000002,-370.8827000000001,397.8919999999997,3544,6346,3839,3587.002499999991,-1800.1167000000023,1788.7514999999935,BTC,7320.94,7313.64,7420.34,7260.93
1575417600,868,1528,962,836.2253000000023,-406.4305000000003,429.84219999999993,4412,6597,4946,3499.7067999999967,-1945.2636999999925,1553.0740000000003,BTC,7313.64,7207.78,7764.68,7110.76
1575504000,731,1370,759,758.4086000000002,-342.0675999999996,416.5060000000002,3089,6561,3205,3767.8814999999936,-1409.8784999999973,2356.9833999999937,BTC,7207.78,7406.75,7492.96,7175.85
1575590400,753,1363,803,741.6468000000007,-364.2665,377.5641999999994,2947,5320,3046,2944.482499999995,-1461.0680000000018,1483.5389000000016,BTC,7406.75,7558.58,7607.79,7323.86
1575676800,589,968,564,525.5631000000003,-278.67619999999994,246.74120000000045,2274,3804,2186,2080.4173999999925,-1033.9160000000004,1046.1772000000014,BTC,7558.58,7514.86,7640.51,7503.1
1575763200,548,970,652,530.3056999999995,-279.3551000000002,251.0721000000005,2420,4175,2653,2274.895099999998,-1298.277199999999,977.2395999999981,BTC,7514.86,7539.7,7594.8,7414.51
1575849600,665,1053,612,577.3920000000003,-328.23719999999975,249.05380000000025,3258,4517,2512,2470.606599999994,-1655.2576999999997,815.1571999999999,BTC,7539.7,7350.62,7667.04,7296.42
1575936000,694,1249,785,668.172900000002,-332.5318999999999,335.9947,2749,5198,2982,2767.768599999992,-1330.1492999999962,1438.7671999999984,BTC,7350.62,7233.84,7403.64,7176.42
