time,neg_ns,pos_ns,neutral_ns,sum_pos_ns,sum_neg_ns,comp_ns,neg_s,pos_s,neu_s,sum_pos_s,sum_neg_s,comp_s,coin,open,close,high,low,label
1574035200,29,44,35,22.0138,-16.087899999999998,5.925900000000001,110,187,145,94.7324,-60.8871,33.84529999999996,LTC,59.29,55.84,58.39,54.59,-1
1574121600,31,46,47,23.843300000000006,-13.3694,10.4739,167,201,202,95.9211,-79.02299999999997,17.052900000000008,LTC,55.84,55.12,56.11,54.76,-1
1574208000,29,31,27,14.557699999999995,-18.2979,-3.839799999999999,167,160,109,77.08980000000003,-112.97240000000002,-36.48019999999999,LTC,55.12,54.95,56.06,54.61,-1
1574294400,71,120,99,64.42250000000001,-32.1159,32.33240000000001,348,467,386,249.73389999999992,-157.06029999999996,92.77679999999997,LTC,54.95,50.78,51.95,49.67,-1
1574380800,102,119,91,60.38839999999997,-39.3257,21.11430000000004,492,500,379,281.0424000000001,-191.0575,90.13969999999986,LTC,50.78,47.5,48.98,46.61,1
1574467200,35,73,37,36.7667,-14.955399999999996,21.862900000000003,148,319,179,153.32499999999996,-55.640999999999984,97.942,LTC,47.5,48.29,48.77,47.48,-1
1574553600,47,57,55,31.437700000000003,-20.0151,11.4373,301,276,241,161.14060000000006,-122.27869999999996,38.89130000000001,LTC,48.29,44.04,45.75,43.6,1
1574640000,32,61,60,34.78070000000002,-14.433600000000002,20.323100000000004,125,327,270,202.9123,-49.5345,153.2764000000001,LTC,44.04,45.69,48.13,44.99,1
1574726400,23,37,48,17.344200000000004,-7.85,9.4942,105,124,244,58.41909999999999,-38.8203,19.211800000000007,LTC,45.69,47.0,47.37,45.81,1
1574812800,21,49,46,24.5283,-9.7078,14.820500000000004,51,213,187,113.00280000000002,-23.1971,89.8057,LTC,47.0,47.81,49.42,47.58,-1
1574899200,34,70,47,39.19029999999999,-16.929699999999997,22.312200000000004,122,312,241,178.74629999999996,-45.0673,133.98860000000002,LTC,47.81,46.95,47.61,46.32,1
1574985600,28,56,37,29.0589,-12.323,16.7617,115,232,168,124.4111,-47.5067,76.98179999999995,LTC,46.95,48.78,49.98,48.64,-1
1575072000,53,68,45,35.12720000000001,-26.510699999999996,8.616500000000002,263,433,266,250.38600000000028,-134.4817999999999,116.05899999999994,LTC,48.78,47.38,48.01,46.98,1
1575158400,47,72,57,36.51919999999999,-21.6442,14.9189,150,250,200,108.66719999999992,-68.22109999999995,40.4957,LTC,47.38,47.63,48.14,45.98,-1
1575244800,36,56,31,35.45189999999999,-20.1186,15.333300000000005,128,223,106,146.97339999999994,-76.9215,70.05190000000003,LTC,47.63,45.62,47.05,45.1,-1
1575331200,45,70,45,37.181199999999976,-19.3559,17.766099999999994,203,271,158,152.57879999999994,-85.81319999999997,66.41040000000004,LTC,45.62,44.87,45.97,44.64,-1
1575417600,41,68,80,36.08179999999999,-16.0293,20.181500000000003,135,206,398,106.88049999999996,-55.42719999999999,51.71129999999999,LTC,44.87,44.69,45.26,43.72,1
1575504000,34,49,54,22.001800000000006,-16.7335,5.341499999999997,163,208,195,95.2682,-78.09289999999999,17.321700000000007,LTC,44.69,44.88,46.11,44.35,1
1575590400,35,58,33,27.9575,-19.2255,8.739800000000002,162,269,118,128.8196999999999,-87.9792,40.856100000000026,LTC,44.88,45.37,46.46,45.23,1
1575676800,16,28,37,13.4364,-7.118400000000001,6.2648,51,75,149,39.9983,-26.2483,13.430799999999998,LTC,45.37,45.41,46.19,44.92,1
1575763200,45,60,59,34.3813,-18.261299999999988,16.03130000000001,202,293,245,166.30070000000003,-85.45689999999998,80.68929999999997,LTC,45.41,45.74,46.2,45.29,-1
1575849600,21,40,29,18.6102,-10.265899999999998,8.344300000000006,158,250,180,120.73669999999996,-80.80359999999997,39.93309999999995,LTC,45.74,44.46,44.9,43.96,-1
1575936000,22,78,58,42.5448,-12.3786,30.166199999999996,97,265,192,145.67969999999997,-60.081999999999994,85.59769999999997,LTC,44.46,44.14,44.26,43.44,-1
1576022400,13,56,43,33.1911,-6.4353,26.7078,33,196,104,119.10419999999998,-14.887800000000002,104.12039999999998,LTC,44.14,43.86,44.48,43.41,-1
1576108800,13,43,18,22.860299999999995,-3.1816,19.6271,71,218,70,126.32009999999997,-20.4252,105.68849999999992,LTC,43.86,43.63,44.11,43.28,1
1576195200,36,51,45,26.2397,-15.4107,10.954399999999998,131,193,184,102.58530000000003,-60.0397,43.29440000000001,LTC,43.63,44.62,44.74,43.69,-1
1576281600,27,29,32,13.547099999999995,-10.682399999999998,2.8647000000000005,124,199,108,113.48370000000004,-47.8751,65.60860000000001,LTC,44.62,43.41,43.93,43.1,1
1576368000,26,47,19,27.22159999999999,-12.413200000000005,14.8084,111,157,49,88.48350000000003,-48.26699999999999,40.216500000000025,LTC,43.41,43.47,44.13,43.35,-1
1576454400,73,114,83,53.16419999999997,-31.577,21.664599999999997,316,376,260,166.34750000000008,-136.15019999999996,30.35210000000001,LTC,43.47,39.98,42.5,39.19,-1
1576540800,89,128,138,62.28739999999999,-39.99660000000001,22.3331,357,422,468,212.5626,-175.30459999999994,37.36839999999996,LTC,39.98,36.94,38.9,36.74,1
1576627200,53,141,98,69.16019999999995,-22.5194,46.74399999999999,213,570,360,291.6954,-92.78419999999993,199.22080000000008,LTC,36.94,40.91,42.68,40.38,-1
1576713600,53,125,79,64.23079999999999,-23.5655,40.613700000000016,250,533,302,279.3618,-106.6389,171.74249999999995,LTC,40.91,39.83,40.87,39.37,1
1576800000,22,43,36,22.2585,-8.4204,13.8381,106,245,183,132.95739999999998,-33.7404,99.21699999999996,LTC,39.83,40.22,40.72,39.86,-1
1576886400,31,40,19,21.186,-15.0122,6.173800000000001,156,204,127,105.26999999999994,-79.6326,25.63740000000001,LTC,40.22,39.79,40.19,39.66,1
1576972800,21,77,47,41.02730000000001,-9.0658,31.90990000000001,89,271,220,150.57050000000004,-32.1694,118.14309999999986,LTC,39.79,41.95,43.29,41.75,-1
1577059200,30,56,39,30.88649999999999,-14.455199999999998,16.392600000000005,107,251,134,171.83029999999997,-52.59699999999998,118.7302,LTC,41.95,40.57,41.32,40.27,-1
1577145600,44,62,44,33.548199999999994,-17.0386,16.533900000000006,243,243,212,125.95529999999994,-94.21130000000002,31.79259999999996,LTC,40.57,40.37,41.01,39.85,-1
1577232000,7,44,28,25.08110000000001,-2.2139,22.86720000000001,36,293,136,194.33510000000007,-10.4864,183.84870000000006,LTC,40.37,40.11,40.49,39.54,-1
1577318400,46,63,33,31.99309999999998,-21.035499999999992,10.9312,149,247,108,125.31079999999996,-69.95349999999996,54.99729999999999,LTC,40.11,40.06,40.67,39.68,1
1577404800,37,55,55,26.866699999999994,-17.7741,9.0926,135,212,256,115.33690000000004,-63.02379999999998,52.31310000000007,LTC,40.06,40.97,41.43,40.15,1
1577491200,45,67,46,37.66859999999999,-21.0567,16.596200000000003,219,282,218,161.5866999999999,-97.8525,63.7028,LTC,40.97,43.0,43.69,41.29,1
1577577600,32,46,38,24.58300000000001,-14.890199999999995,9.692799999999998,132,219,228,120.9541,-69.4389,51.51519999999999,LTC,43.0,43.15,43.78,42.66,-1
1577664000,17,44,34,26.1135,-6.804700000000001,19.3088,65,267,200,150.48369999999997,-31.9233,118.56039999999993,LTC,43.15,42.32,43.36,41.86,-1
1577750400,8,30,21,18.5844,-3.0865000000000005,15.420499999999995,22,180,86,111.8025,-8.4863,102.77439999999996,LTC,42.32,41.23,42.51,41.13,1
1577836800,10,31,15,21.401599999999995,-6.4679,14.933699999999998,37,186,83,136.30200000000002,-22.0515,114.25050000000002,LTC,41.23,41.59,41.86,41.16,-1
1577923200,39,60,63,31.604,-17.1905,14.369700000000009,232,341,233,198.57079999999996,-88.91909999999999,109.3597,LTC,41.59,39.45,40.62,39.33,1
1578009600,35,59,22,32.63930000000001,-19.6617,13.052399999999995,141,276,104,141.59799999999996,-84.02499999999998,57.8954,LTC,39.45,42.36,42.36,41.05,1
1578096000,21,33,20,14.7079,-9.8712,4.688299999999999,79,110,73,53.8524,-39.87510000000001,13.609500000000002,LTC,42.36,42.82,43.05,41.98,1
1578182400,43,71,45,37.14979999999999,-20.9485,16.2271,167,295,195,150.9466999999999,-87.32609999999997,63.646400000000035,LTC,42.82,43.32,43.81,42.33,1
1578268800,20,35,37,18.605900000000005,-8.730500000000001,9.973000000000004,67,185,200,93.04029999999996,-31.636199999999995,61.98969999999999,LTC,43.32,45.88,46.56,45.57,1
1578355200,27,107,78,58.92599999999999,-8.211400000000001,50.80489999999998,188,588,373,326.12459999999993,-78.06090000000005,247.6638,LTC,45.88,46.53,48.32,46.4,-1
1578441600,55,70,45,35.53330000000001,-23.975199999999994,11.5783,243,292,175,147.6571,-116.1,31.67830000000001,LTC,46.53,45.31,46.61,44.2,-1
1578528000,14,45,36,22.969700000000003,-5.8748000000000005,17.0949,44,180,130,111.75809999999994,-18.518,93.24009999999998,LTC,45.31,44.72,45.1,43.89,1
1578614400,39,75,93,35.575,-16.588899999999995,18.986100000000004,199,259,414,120.0209999999999,-87.64880000000002,32.37220000000001,LTC,44.72,49.11,50.44,46.57,1
1578700800,36,79,72,40.417599999999965,-18.5563,21.86130000000001,191,540,417,271.97120000000007,-103.46120000000003,168.5099999999999,LTC,49.11,49.42,51.15,47.67,1
1578787200,14,56,45,30.2209,-7.072100000000002,23.148799999999994,83,353,227,187.3162,-43.2245,144.24650000000003,LTC,49.42,51.38,52.08,50.14,-1
1578873600,27,51,52,24.591900000000006,-11.8271,12.7441,93,299,295,141.32739999999995,-43.77430000000001,97.49099999999996,LTC,51.38,49.64,51.16,49.1,1
1578960000,108,187,179,89.26740000000002,-47.5857,41.682199999999966,594,1012,791,491.8050999999999,-270.4818000000002,222.09879999999973,LTC,49.64,58.43,60.76,53.85,-1
1579046400,49,92,93,44.092300000000016,-20.9019,23.113999999999994,206,480,517,223.8996999999999,-81.66039999999998,141.74270000000004,LTC,58.43,58.24,60.34,56.95,-1
1579132800,20,59,41,31.554700000000004,-8.6586,22.85789999999999,119,236,194,121.21899999999997,-61.20500000000001,59.8994,LTC,58.24,57.51,58.72,55.56,1
1579219200,50,122,79,62.888299999999994,-19.0421,43.9484,199,596,396,302.0494,-84.11139999999997,218.14240000000007,LTC,57.51,60.97,63.3,58.07,-1
1579305600,20,61,28,36.20899999999999,-9.4817,26.6851,74,319,126,185.1331,-32.84720000000001,152.2015,LTC,60.97,59.22,62.31,58.38,-1
1579392000,7,32,34,14.735,-2.1227,12.612300000000005,65,255,256,113.56159999999996,-18.246499999999994,95.31509999999996,LTC,59.22,57.66,59.86,56.2,-1
1579478400,11,25,34,12.176800000000002,-4.6576,7.5192,49,141,132,67.26950000000001,-21.3834,45.886100000000006,LTC,57.66,57.09,58.18,56.28,1
1579564800,14,56,31,31.22360000000001,-5.7964,25.42720000000001,37,263,132,141.55719999999997,-16.331000000000003,125.22619999999992,LTC,57.09,57.41,58.65,57.1,1
1579651200,31,38,18,19.8392,-12.948899999999998,6.8607,169,147,91,67.34490000000001,-70.97959999999993,-3.723500000000002,LTC,57.41,58.31,58.88,56.8,-1
1579737600,52,89,59,48.68129999999999,-25.084600000000005,23.519299999999994,201,412,194,227.01519999999996,-91.17749999999997,135.6055,LTC,58.31,54.29,56.8,53.24,1
1579824000,48,82,57,45.7941,-21.7394,24.0547,147,322,235,171.05649999999994,-67.92379999999993,103.13270000000004,LTC,54.29,54.5,55.08,51.67,-1
1579910400,33,46,33,27.51609999999999,-17.487299999999998,10.0546,171,241,144,155.82959999999986,-84.74800000000002,71.10739999999998,LTC,54.5,53.25,54.41,52.35,1
1579996800,30,41,29,20.318800000000003,-11.6583,8.660500000000003,86,138,92,69.95799999999998,-39.9964,29.961599999999976,LTC,53.25,56.15,56.79,54.63,1
