Unnamed: 0,time,neg_ns,pos_ns,neutral_ns,comp_ns,neg_s,pos_s,neu_s,comp_s,coin,open,close,high,low,submissions,label,n_news,avg_news_compound
124,1578009600,892,1422,854,343.2989999999998,4606,7177,3591,1569.8264000000065,BTC,6965.72,7339.7,7407.11,6882.62,272,1,2,-0.2926275
125,1578096000,710,1149,729,262.45930000000004,3201,4763,3104,1035.203100000002,BTC,7339.7,7357.5,7405.75,7278.6,235,1,2,-0.04655952380952381
126,1578182400,823,1293,849,299.01299999999964,4852,5861,4440,934.8466000000012,BTC,7357.5,7359.96,7501.42,7330.07,225,1,1,0.17903235294117648
127,1578268800,611,982,694,224.38080000000042,2492,4551,3011,1155.1066000000014,BTC,7359.96,7762.69,7799.63,7355.11,236,1,2,0.36254340659340656
128,1578355200,957,1640,1012,436.2474999999995,4954,9096,5556,2828.073299999993,BTC,7762.69,8160.36,8218.63,7736.57,292,-1,2,0.11019431818181818
129,1578441600,747,1394,799,414.10400000000084,2900,5432,2890,1543.6159000000025,BTC,8160.36,8045.15,8458.65,7873.97,332,-1,3,0.3180133333333333
130,1578528000,485,997,549,331.6943999999998,2197,4504,2032,1507.3773999999985,BTC,8045.15,7817.35,8047.11,7757.04,209,1,1,-0.18180714285714286
131,1578614400,702,1178,746,282.2352999999993,3179,5209,2847,1104.5359999999996,BTC,7817.35,8190.31,8192.05,7682.56,234,-1,4,0.13773792735042734
132,1578700800,670,1155,670,302.3296000000007,3414,5362,3526,1131.0032999999992,BTC,8190.31,8024.58,8287.42,8003.87,178,1,4,0.0464408091908092
133,1578787200,521,967,652,304.6950000000008,2742,4207,2611,960.5414999999956,BTC,8024.58,8181.49,8185.14,7968.4,179,-1,5,0.11852885880217787
134,1578873600,608,1211,632,415.03379999999885,2852,5021,2519,1718.8015000000073,BTC,8181.49,8106.56,8200.4,8057.37,249,1,8,0.2059277541866029
135,1578960000,1039,1738,1125,433.74300000000005,5001,8449,5351,2088.9591999999984,BTC,8106.56,8820.95,8874.07,8106.4,341,-1,8,0.15612835542929293
136,1579046400,830,1488,865,401.0231999999992,3454,6187,3354,1523.3216000000025,BTC,8820.95,8813.21,8890.04,8559.93,289,-1,4,0.13833632575757576
137,1579132800,741,1479,800,472.5421000000016,3412,7159,3634,2550.519699999991,BTC,8813.21,8719.63,8846.78,8586.56,274,1,4,-0.07175154761904762
138,1579219200,840,1487,878,422.88529999999815,4547,7375,4670,1790.9636999999966,BTC,8719.63,8894.83,9004.35,8665.99,285,1,3,0.2031193650793651
139,1579305600,709,1115,762,246.7655000000001,3322,4915,3182,1024.7280000000003,BTC,8894.83,8909.28,8974.65,8807.26,203,-1,6,-0.011754472222222215
140,1579392000,886,1459,965,369.5576999999994,4495,6737,4644,1336.3443000000002,BTC,8909.28,8702.59,9177.39,8508.15,303,-1,6,0.10099526150636207
141,1579478400,684,1334,737,416.8975999999996,3116,6775,3193,2375.574299999989,BTC,8702.59,8634.03,8737.36,8521.52,215,1,5,0.13118902564102564
142,1579564800,837,1383,771,350.60230000000007,3593,6324,3016,1744.9749999999945,BTC,8634.03,8724.84,8771.75,8479.9,255,-1,3,0.08980359683794463
143,1579651200,785,1420,748,400.32349999999985,3538,6657,2893,1987.0797999999882,BTC,8724.84,8667.26,8793.74,8582.43,245,-1,10,0.06322166038961038
144,1579737600,1347,2151,1058,512.1474999999991,6498,9681,4561,2364.666399999993,BTC,8667.26,8394.28,8680.93,8290.98,287,1,7,-0.12152591946456003
145,1579824000,1098,1684,892,410.3647999999984,5314,7284,3374,1572.9762999999978,BTC,8394.28,8431.78,8517.5,8225.83,277,-1,5,0.2001296753246753
146,1579910400,995,1570,775,359.69100000000014,3828,6404,3065,1537.0478000000035,BTC,8431.78,8345.88,8444.32,8263.42,236,1,1,0.313428
147,1579996800,784,1299,757,344.4283,3409,6478,3613,2057.1345999999953,BTC,8345.88,8602.37,8605.33,8302.57,245,1,3,0.07480314253647588
148,1580083200,1067,1747,1000,445.6334000000005,4377,7658,4461,2019.7450999999944,BTC,8602.37,8898.94,8991.01,8572.37,298,1,11,0.13506456709956713
149,1580169600,826,1706,926,534.0474999999974,3531,8133,4331,2836.568199999963,BTC,8898.94,9391.97,9407.39,8892.58,279,-1,1,0.409775
150,1580256000,950,1760,1045,514.9684999999993,4223,7227,4275,1896.0446999999967,BTC,9391.97,9286.18,9429.16,9234.27,282,1,6,-0.04751342592592591
151,1580342400,970,1713,1086,458.85589999999985,4023,8139,4991,2842.675999999987,BTC,9286.18,9501.38,9561.26,9181.72,271,-1,9,0.22307324615199617
152,1580428800,735,1314,739,382.8079000000008,2987,4965,2908,1288.085400000002,BTC,9501.38,9342.23,9518.87,9208.36,260,1,8,0.02702950778388278
153,1580515200,747,1227,706,313.2055000000006,3189,5192,2766,1396.5568999999987,BTC,9342.23,9384.45,9455.92,9296.57,190,-1,6,0.1856097989700931
154,1580601600,637,1118,757,295.9613000000009,2527,4361,3132,1143.2116999999962,BTC,9384.45,9334.25,9469.84,9169.21,223,-1,2,0.107659375
155,1580688000,623,1172,648,341.7458000000001,2936,4785,2393,1266.0249000000006,BTC,9334.25,9288.96,9605.66,9230.83,255,-1,6,0.05525971921596921
156,1580774400,608,1091,651,318.76210000000026,2703,4854,2807,1351.1980999999969,BTC,9288.96,9171.98,9347.12,9089.52,216,1,3,0.3271779100529101
157,1580860800,685,1202,780,352.0634000000004,3360,5206,3425,1237.9303000000016,BTC,9171.98,9611.42,9750.28,9162.98,295,1,1,0.027200000000000002
158,1580947200,736,1281,889,329.6075000000011,3200,5172,3365,1249.0056999999993,BTC,9611.42,9755.84,9853.08,9533.37,294,1,3,0.10056305916305915
159,1581033600,623,1291,751,416.9241,2829,6150,3369,1999.4447999999984,BTC,9755.84,9808.36,9866.18,9714.16,271,1,3,-0.1748753623188406
160,1581120000,765,1139,765,238.2556000000007,3266,5185,3510,1244.1332999999972,BTC,9808.36,9898.25,9936.26,9665.26,226,1,6,0.16955726971068144
161,1581206400,715,1588,1079,508.43530000000055,3085,6974,4911,2305.8139,BTC,9898.25,10157.78,10162.71,9880.67,317,-1,6,0.17715277777777774
162,1581292800,704,1288,754,384.14259999999945,3064,4906,2941,1238.365699999998,BTC,10157.78,9858.03,10185.09,9761.16,275,1,2,0.06905000000000003
163,1581379200,756,1259,822,302.04750000000047,3430,5915,3657,1519.241099999999,BTC,9858.03,10269.43,10370.44,9716.32,299,1,12,-0.01828132591945093
164,1581465600,946,1729,1053,498.63909999999987,4168,7840,5273,2119.205400000002,BTC,10269.43,10347.93,10475.43,10250.55,308,-1,1,-0.27607499999999996
